Date,close,open,high,low,count,zhangdie
2021年7月30日,145.86,144.38,146.33,144.11,70.44M,0.15%
2021年7月29日,145.64,144.67,146.54,144.63,56.70M,0.46%
2021年7月28日,144.98,144.79,146.92,142.62,118.93M,-1.22%
2021年7月27日,146.77,149.06,149.16,145.57,104.82M,-1.49%
2021年7月26日,148.99,148.25,149.82,147.75,72.43M,0.29%
2021年7月23日,148.56,147.55,148.72,146.92,71.45M,1.20%
2021年7月22日,146.8,145.94,148.19,145.81,77.34M,0.96%
2021年7月21日,145.4,145.53,146.13,144.63,74.99M,-0.51%
2021年7月20日,146.15,143.46,147.1,142.96,96.35M,2.60%
2021年7月19日,142.45,143.75,144.07,141.67,121.43M,-2.69%
2021年7月16日,146.39,148.46,149.76,145.88,93.25M,-1.41%
2021年7月15日,148.48,149.25,149.98,147.1,106.82M,-0.45%
2021年7月14日,149.15,148,149.57,147.7,127.05M,2.41%
2021年7月13日,145.64,143.7,147.46,143.7,100.83M,0.79%
2021年7月12日,144.5,146.22,146.22,144.04,76.30M,-0.42%
2021年7月9日,145.11,142.75,145.65,142.65,99.89M,1.31%
2021年7月8日,143.24,141.49,144.05,140.69,105.58M,-0.92%
2021年7月7日,144.57,143.58,144.88,142.74,104.91M,1.80%
2021年7月6日,142.02,140.17,143.11,140.15,108.18M,1.47%
2021年7月2日,139.96,137.9,140,137.74,78.95M,1.96%
2021年7月1日,137.27,136.68,137.3,135.77,52.49M,0.23%
2021年6月30日,136.96,136.13,137.38,135.89,63.26M,0.46%
2021年6月29日,136.33,134.82,136.49,134.38,64.56M,1.15%
2021年6月28日,134.78,133.46,135.24,133.46,62.11M,1.25%
2021年6月25日,133.11,133.46,133.89,132.81,70.78M,-0.22%
2021年6月24日,133.41,134.45,134.51,132.94,68.71M,-0.22%
2021年6月23日,133.7,133.87,134.31,133.24,60.21M,-0.21%
2021年6月22日,133.98,132.09,134.08,131.64,74.78M,1.27%
2021年6月21日,132.3,130.3,132.41,129.21,79.66M,1.41%
2021年6月18日,130.46,130.71,131.51,130.24,108.95M,-1.01%
2021年6月17日,131.79,129.94,132.54,129.66,96.72M,1.26%
2021年6月16日,130.15,130.26,130.89,128.49,91.82M,0.39%
2021年6月15日,129.64,130.07,130.59,129.41,62.75M,-0.64%
2021年6月14日,130.48,127.7,130.48,127.1,96.91M,2.46%
2021年6月11日,127.35,126.53,127.44,126.1,53.52M,0.98%
2021年6月10日,126.11,127.01,128.16,125.94,71.19M,-0.80%
2021年6月9日,127.13,127.34,127.7,126.57,56.88M,0.31%
2021年6月8日,126.74,126.72,128.44,126.22,74.40M,0.67%
2021年6月7日,125.9,126.05,126.24,124.85,71.06M,0.01%
2021年6月4日,125.89,124.07,126.16,123.85,75.17M,1.90%
2021年6月3日,123.54,124.66,124.83,123.14,76.23M,-1.22%
2021年6月2日,125.06,124.2,125.22,124.05,59.28M,0.63%
2021年6月1日,124.28,125.08,125.35,123.94,65.18M,-0.26%
2021年5月28日,124.61,125.57,125.8,124.55,71.31M,-0.53%
2021年5月27日,125.28,126.44,127.64,125.08,94.63M,-1.24%
2021年5月26日,126.85,126.96,127.39,126.42,56.58M,-0.04%
2021年5月25日,126.9,127.82,128.32,126.32,72.01M,-0.16%
2021年5月24日,127.1,126.01,127.94,125.94,63.09M,1.33%
2021年5月21日,125.43,127.82,128,125.21,79.30M,-1.48%
2021年5月20日,127.31,125.23,127.72,125.1,76.86M,2.10%
2021年5月19日,124.69,123.16,124.92,122.86,92.61M,-0.13%
2021年5月18日,124.85,126.56,126.99,124.78,63.34M,-1.12%
2021年5月17日,126.27,126.82,126.93,125.17,74.25M,-0.93%
2021年5月14日,127.45,126.25,127.89,125.85,81.92M,1.98%
2021年5月13日,124.97,124.58,126.15,124.26,105.86M,1.79%
2021年5月12日,122.77,123.4,124.64,122.25,112.17M,-2.49%
2021年5月11日,125.91,123.5,126.27,122.77,126.14M,-0.74%
2021年5月10日,126.85,129.41,129.54,126.81,88.07M,-2.58%
2021年5月7日,130.21,130.85,131.26,129.48,78.97M,0.36%
2021年5月6日,129.74,127.89,129.75,127.13,78.13M,1.28%
2021年5月5日,128.1,129.2,130.45,127.97,84.00M,0.20%
2021年5月4日,127.85,131.19,131.49,126.7,137.56M,-3.54%
2021年5月3日,132.54,132.04,134.07,131.83,75.14M,0.82%
2021年4月30日,131.46,131.78,133.56,131.07,109.84M,-1.51%
2021年4月29日,133.48,136.47,137.07,132.45,151.10M,-0.07%
2021年4月28日,133.58,134.31,135.02,133.08,107.76M,-0.60%
2021年4月27日,134.39,135.01,135.41,134.11,66.02M,-0.24%
2021年4月26日,134.72,134.83,135.06,133.56,66.91M,0.30%
2021年4月23日,134.32,132.16,135.12,132.16,78.76M,1.80%
2021年4月22日,131.94,133.04,134.15,131.41,84.57M,-1.17%
2021年4月21日,133.5,132.36,133.75,131.3,68.85M,0.29%
2021年4月20日,133.11,135.02,135.53,131.81,94.81M,-1.28%
2021年4月19日,134.84,133.51,135.47,133.34,94.26M,0.51%
2021年4月16日,134.16,134.3,134.67,133.28,84.92M,-0.25%
2021年4月15日,134.5,133.82,135,133.64,89.35M,1.87%
2021年4月14日,132.03,134.94,135,131.65,87.22M,-1.79%
2021年4月13日,134.43,132.44,134.66,131.93,91.27M,2.43%
2021年4月12日,131.24,132.52,132.85,130.63,91.42M,-1.32%
2021年4月9日,132.99,129.8,133.04,129.47,106.69M,2.02%
2021年4月8日,130.36,128.95,130.39,128.52,88.85M,1.92%
2021年4月7日,127.9,125.83,127.92,125.14,83.47M,1.34%
2021年4月6日,126.21,126.5,127.13,125.65,80.17M,0.25%
2021年4月5日,125.9,123.87,126.16,123.07,88.65M,2.36%
2021年4月1日,123,123.66,124.18,122.49,75.09M,0.70%
2021年3月31日,122.15,121.65,123.52,121.15,118.32M,1.88%
2021年3月30日,119.9,120.11,120.4,118.86,85.67M,-1.23%
2021年3月29日,121.39,121.65,122.58,120.73,80.82M,0.15%
2021年3月26日,121.21,120.35,121.48,118.92,94.07M,0.51%
2021年3月25日,120.59,119.54,121.66,119,98.85M,0.42%
2021年3月24日,120.09,122.82,122.9,120.07,88.53M,-2.00%
2021年3月23日,122.54,123.33,124.24,122.14,95.47M,-0.69%
2021年3月22日,123.39,120.33,123.87,120.26,111.91M,2.83%
2021年3月19日,119.99,119.9,121.43,119.68,185.55M,-0.45%
2021年3月18日,120.53,122.88,123.18,120.32,121.47M,-3.39%
2021年3月17日,124.76,124.05,125.86,122.34,111.93M,-0.65%
2021年3月16日,125.57,125.7,127.22,124.71,115.23M,1.27%
2021年3月15日,123.99,121.41,124,120.42,92.59M,2.45%
2021年3月12日,121.03,120.4,121.17,119.16,88.11M,-0.76%
2021年3月11日,121.96,122.54,123.21,121.26,103.03M,1.65%
2021年3月10日,119.98,121.69,122.17,119.45,111.94M,-0.91%
2021年3月9日,121.08,119.03,122.06,118.79,129.53M,4.06%
2021年3月8日,116.36,120.93,121,116.21,154.38M,-4.17%
2021年3月5日,121.42,120.98,121.93,117.57,153.77M,1.07%
2021年3月4日,120.13,121.75,123.6,118.62,178.16M,-1.58%
2021年3月3日,122.06,124.81,125.71,121.84,112.97M,-2.45%
2021年3月2日,125.12,128.41,128.72,125.01,102.26M,-2.09%
2021年3月1日,127.79,123.75,127.93,122.79,116.31M,5.39%
2021年2月26日,121.26,122.59,124.85,121.2,164.56M,0.22%
2021年2月25日,120.99,124.68,126.46,120.54,148.20M,-3.48%
2021年2月24日,125.35,124.94,125.56,122.23,111.04M,-0.41%
2021年2月23日,125.86,123.76,126.71,118.39,158.27M,-0.11%
2021年2月22日,126,128.01,129.72,125.6,103.92M,-2.98%
2021年2月19日,129.87,130.24,130.71,128.8,87.67M,0.12%
2021年2月18日,129.71,129.2,129.99,127.41,96.86M,-0.86%
2021年2月17日,130.84,131.25,132.22,129.47,98.09M,-1.76%
2021年2月16日,133.19,135.49,136.01,132.79,80.58M,-1.61%
2021年2月12日,135.37,134.35,135.53,133.69,60.15M,0.18%
2021年2月11日,135.13,135.9,136.39,133.77,64.28M,-0.19%
2021年2月10日,135.39,136.48,136.99,134.4,73.05M,-0.46%
2021年2月9日,136.01,136.62,137.88,135.85,76.77M,-0.66%
2021年2月8日,136.91,136.03,136.96,134.92,71.30M,0.11%
2021年2月5日,136.76,137.35,137.42,135.86,75.69M,-0.46%
2021年2月4日,137.39,136.3,137.4,134.59,84.18M,2.58%
2021年2月3日,133.94,135.76,135.77,133.61,89.88M,-0.78%
