Date,Close,Open,High,Low,count,zhangdie
2021年7月30日,687.2,671.76,697.53,669,29.66M,1.45%
2021年7月29日,677.35,649.6,683.47,649.4,30.39M,4.69%
2021年7月28日,646.98,647.25,654.91,639.84,16.01M,0.34%
2021年7月27日,644.78,663,666.31,627.27,32.81M,-1.95%
2021年7月26日,657.62,650.24,668.16,647.11,25.34M,2.21%
2021年7月23日,643.38,646.36,648.8,637.3,14.60M,-0.91%
2021年7月22日,649.26,656.44,662.17,644.6,15.11M,-0.92%
2021年7月21日,655.29,659.61,664.86,650.29,13.95M,-0.79%
2021年7月20日,660.5,651.99,662.39,640.5,15.49M,2.21%
2021年7月19日,646.22,629.89,647.2,621.29,21.30M,0.31%
2021年7月16日,644.22,654.68,656.7,642.2,16.37M,-0.98%
2021年7月15日,650.6,657.79,666,637.99,20.21M,-0.43%
2021年7月14日,653.38,671,678.34,652.98,21.64M,-2.27%
2021年7月13日,668.54,686.95,692.86,666.33,20.97M,-2.50%
2021年7月12日,685.7,662.87,687.08,662.87,25.93M,4.38%
2021年7月9日,656.95,653.18,658.91,644.69,18.14M,0.63%
2021年7月8日,652.81,628.37,654.43,620.46,22.77M,1.27%
2021年7月7日,644.65,664.27,665.7,638.32,18.79M,-2.26%
2021年7月6日,659.58,681.71,684,651.4,23.28M,-2.85%
2021年7月2日,678.9,678.98,700,673.26,27.10M,0.14%
2021年7月1日,677.92,683.92,687.99,672.8,18.63M,-0.26%
2021年6月30日,679.7,679.77,692.81,678.14,18.92M,-0.16%
2021年6月29日,680.76,684.65,687.51,675.89,17.38M,-1.16%
2021年6月28日,688.72,671.64,694.7,670.32,21.63M,2.51%
2021年6月25日,671.87,689.58,693.81,668.7,32.50M,-1.17%
2021年6月24日,679.82,674.99,697.62,667.61,45.98M,3.54%
2021年6月23日,656.57,632,657.2,630.04,31.10M,5.27%
2021年6月22日,623.71,618.25,628.57,615.5,19.16M,0.46%
2021年6月21日,620.83,624.48,631.39,608.88,24.81M,-0.40%
2021年6月18日,623.31,613.37,628.35,611.8,24.56M,1.09%
2021年6月17日,616.6,601.89,621.47,601.34,22.70M,1.94%
2021年6月16日,604.87,597.53,608.5,593.5,22.14M,0.92%
2021年6月15日,599.36,616.69,616.79,598.23,17.76M,-2.97%
2021年6月14日,617.69,612.23,625.49,609.18,20.42M,1.28%
2021年6月11日,609.89,610.23,612.56,601.52,16.21M,-0.04%
2021年6月10日,610.12,603.88,616.59,600.5,23.92M,1.89%
2021年6月9日,598.78,602.17,611.79,597.63,16.58M,-0.80%
2021年6月8日,603.59,623.01,623.09,595.5,26.05M,-0.25%
2021年6月7日,605.13,591.83,610,582.88,22.54M,1.01%
2021年6月4日,599.05,579.71,600.61,577.2,24.04M,4.58%
2021年6月3日,572.84,601.8,604.55,571.22,30.11M,-5.33%
2021年6月2日,605.12,620.13,623.36,599.14,23.30M,-3.01%
2021年6月1日,623.9,627.8,633.8,620.55,18.08M,-0.21%
2021年5月28日,625.22,628.5,635.59,622.38,22.74M,-0.89%
2021年5月27日,630.85,620.24,631.13,616.21,26.37M,1.89%
